000089,深圳机场,机场,深投系;电子商务;转融券;QFII持股;基金增仓;广东国资整合;广东自贸区;深成500;深股通;交通运输;交通运输、仓储业;广东;运输;中证500;融资融券;
000090,天健集团,工程建筑,深建设系;广东国资整合;深股通;广东自贸区;深成500;中证500;融资融券;一带一路;证金持股;粤港澳大湾区;智慧城市;大订单;汇金持股;房地产;建筑业;广东;资本货物;金融改革;
000096,广聚能源,石油石化,深投系;广东国资整合;深股通;农村金融;粤港澳大湾区;化工;批发和零售贸易;广东;能源;油改概念;基金新增;
000099,中信海直,航空运输,中信系;深股通;深成500;通用航空;中证500;融资融券;航天军工;国资委整合;海洋工程;转融券;三沙概念;交通运输;交通运输、仓储业;广东;运输;汇金持股;大飞机;
000100,TCL 集团,家电,汇金持股;数字电视;证金持股;三网融合;股权投资;举牌;沪深300;低价;深股通;大盘;参股金融;TMT概念;智能穿戴;融资融券;参股新三板;家用电器;电子;广东;耐用消费品与服装;深成500;转融券;深证100;
000150,宜华健康,医疗服务,青鸟系;养老概念;智慧城市;健康中国;电子商务;深股通;特种药;房地产;房地产业;广东;医疗保健设备与服务;
000151,中成股份,贸易,转融券;基金新增;融资融券;中盘;商业贸易;批发和零售贸易;北京;资本货物;国资委整合;一带一路;
000153,丰原药业,医药制造,丰原系;股权激励;特种药;医药生物;医药、生物制品;安徽;制药与生物科技;
000155,*ST川化,化工,化工;石油、化学、塑胶、塑料;四川;原材料;
000156,华数传媒,文化传媒,鸿仪系;证金持股;转融券;基金增仓;股权冻结;汇金持股;数字电视;股权投资;TMT概念;博彩概念;新媒体;基金新增;深股通;深成500;融资融券;沪深300;传媒;传播与文化产业;浙江;媒体;地方国资整合;三网融合;
000157,中联重科,工程机械,节能环保;转融券;基金增仓;H股;汇金持股;沪深300;低市净率;湖南国资整合;股权投资;AH股;低价;深股通;证金持股;破净股;参股金融;深成500;融资融券;机械设备;机械、设备、仪表;湖南;资本货物;农业机械;深证100;IPO受益;一带一路;
000158,常山股份,纺织,智慧城市;雄安新区;举牌;股权投资;大数据;深股通;中价;深成500;中证500;纺织服装;纺织、服装、皮毛;河北;耐用消费品与服装;地方国资整合;京津冀;双创概念;
000159,国际实业,石油石化,汇金持股;西部开发;化工;石油、化学、塑胶、塑料;新疆;能源;涉矿概念;一带一路;油改概念;
000166,申万宏源,券商,深成500;深股通;中证100;证金持股;深证100;汇金持股;融资融券;再融资;国资委整合;沪深300;大盘;非银金融;新疆;综合金融;转融通;定向增发;股权投资;
000301,东方市场,电力,参股金融;重组并购;物联网;地方国资整合;电子商务;双创概念;IPO受益;证金持股;农村金融;股权转让;公用事业;电力、煤气及水的生产和供应业;江苏;公用事业;低价;
000333,美的集团,家电,深证100;股权投资;深股通;智能制造;电子商务;证金持股;融资融券;沪深300;参股金融;央视50;股权激励;员工持股;大盘;中证100;汇金持股;QFII持股;操盘手80;农村金融;家用电器;广东;耐用消费品与服装;转融券;深成500;东盟自贸区;
000338,潍柴动力,汽车配件,深证100;股权投资;证金持股;高送转;深股通;H股;沪深300;融资融券;AH股;汇金持股;预盈预增;农业机械;转融券;基金增仓;汽车;机械、设备、仪表;山东;资本货物;地方国资整合;深成500;
000400,许继电气,电气设备,许继系;招商证券系;混改;基金增仓;国资委整合;能源互联网;充电桩;操盘手80;深股通;中证500;节能环保;深成500;电气设备;机械、设备、仪表;河南;资本货物;电力改革;融资融券;大订单;转融券;储能概念;汇金持股;智能电网;证金持股;
000401,冀东水泥,水泥,京津冀;地方国资整合;雄安新区;中证500;体育概念;大盘;股权投资;融资融券;建筑材料;金属、非金属;河北;原材料;重组并购;QFII持股;转融券;汇金持股;
000402,金 融 街,房地产,京津冀;深证100;举牌;地方国资整合;深股通;汇金持股;养老概念;深成500;房地产;房地产业;北京;房地产;大盘;融资融券;沪深300;转融券;证金持股;
000403,ST生化,生物制品,三九系;国泰君安系;明星基金;股权冻结;ST;医药生物;医药、生物制品;山西;制药与生物科技;摘帽;
000404,华意压缩,家电,混改;地方国资整合;再融资;股权激励;券商重仓;地热;融资融券;QFII持股;家用电器;机械、设备、仪表;江西;资本货物;
000407,胜利股份,公用事业,股权转让;举牌;循环经济;特色化工;公用事业;石油、化学、塑胶、塑料;山东;公用事业;重组并购;天然气概念;
000408,*ST金源,化肥,新理益系;黄金概念;ST;商业贸易;批发和零售贸易;青海;原材料;摘帽;
000409,山东地矿,综合行业,股权冻结;注资承诺;举牌;地方国资整合;黄金概念;采掘;批发和零售贸易;山东;资本货物;重组并购;
000410,沈阳机床,机床设备,地方国资整合;基金新增;融资融券;智能制造;转融券;辽宁自贸区;机械设备;机械、设备、仪表;辽宁;资本货物;振兴东北;
000411,英特集团,医药流通,国资委整合;智慧城市;基金增仓;医药生物;批发和零售贸易;浙江;食品与主要用品零售;
000413,东旭光电,电子元器件,石墨烯;融资融券;重组并购;转融券;新能源汽车;智能穿戴;汇金持股;深成500;大盘;沪深300;新材料;证金持股;电子;电子;河北;技术硬件与设备;锂电池;明星基金;深股通;深证100;蓝宝石;
000415,渤海金控,多元金融,参股金融;融资融券;重组并购;转融券;汇金持股;深成500;沪深300;注资承诺;证金持股;金融改革;股权激励;雄安新区;非银金融;社会服务业;新疆;商业和专业服务;深股通;
000416,民生控股,多元金融,参股金融;基金新增;中韩自贸区;中盘;金融改革;非银金融;批发和零售贸易;山东;综合金融;电子商务;
000417,合肥百货,零售业,华安证券系;地方国资整合;融资融券;农村金融;转融券;汇金持股;券商重仓;安徽自贸区;商业贸易;批发和零售贸易;安徽;零售业;举牌;电子商务;参股金融;深股通;中证500;
000418,小天鹅Ａ,家电,斯威特系;银河系;融资融券;QFII持股;社保重仓;汇金持股;家用电器;机械、设备、仪表;江苏;耐用消费品与服装;电子商务;深股通;中证500;
000419,通程控股,零售业,湖南国资整合;参股金融;基金新增;农村金融;商业贸易;批发和零售贸易;湖南;零售业;电子商务;
000420,吉林化纤,化纤,低价;新材料;地方国资整合;化工;石油、化学、塑胶、塑料;吉林;原材料;振兴东北;
000421,南京公用,公用事业,金融改革;股权投资;地方国资整合;公用事业;综合类;江苏;公用事业;
000422,湖北宜化,化肥,特色化工;转融券;再融资;汇金持股;低市净率;中盘;融资融券;地方国资整合;破净股;稀缺资源;化工;石油、化学、塑胶、塑料;湖北;原材料;基金增仓;定向增发;明星基金;
000423,东阿阿胶,中药,华润系;大盘;沪深300;转融券;增持回购;高价;特种药;汇金持股;深股通;央视50;QFII持股;深证100;电子商务;融资融券;医药生物;医药、生物制品;山东;制药与生物科技;国资委整合;深成500;明星基金;
000425,徐工机械,工程机械,农凯系;大通证券系;低价;沪深300;转融券;一带一路;证金持股;再融资;汇金持股;深股通;债转股;地方国资整合;融资融券;航天军工;机械设备;机械、设备、仪表;江苏;资本货物;基金增仓;定向增发;深成500;
000426,兴业矿业,有色金属,小金属;转融券;深股通;西部开发;参股金融;预盈预增;融资融券;有色金属;采掘业;内蒙古;原材料;中证500;深成500;
000428,华天酒店,酒店餐饮,大通证券系;华天系;财政扶持;湖南国资整合;深股通;参股金融;电子商务;休闲服务;社会服务业;湖南;消费者服务;养老概念;
000429,粤高速Ａ,高速公路,海通系;增持回购;广东自贸区;交通运输;交通运输、仓储业;广东;运输;粤港澳大湾区;广东国资整合;
000430,张家界,旅游,鸿仪系;地方国资整合;移动软件;休闲服务;社会服务业;湖南;消费者服务;参股金融;农村金融;
000488,晨鸣纸业,造纸,AH股;双创概念;燃料电池;地方国资整合;深股通;汇金持股;中证500;低市净率;参股金融;深成500;轻工制造;造纸、印刷;山东;原材料;融资融券;财政扶持;小金属;土地流转;
000498,山东路桥,工程建筑,地方国资整合;PPP概念;大订单;基金增仓;建筑装饰;建筑业;山东;资本货物;深股通;
000501,鄂武商Ａ,零售业,内陆自贸区;电子商务;深股通;汇金持股;参股金融;融资融券;QFII持股;转融券;地方国资整合;商业贸易;批发和零售贸易;湖北;零售业;中证500;基金增仓;
000502,绿景控股,医疗服务,新理益系;民营医院;智慧城市;房地产;房地产业;广东;房地产;
000503,海虹控股,互联网,南方系;深成500;大盘;沪深300;健康中国;电子商务;深股通;融资融券;三沙概念;转融券;再融资;员工持股;深证100;智慧城市;传媒;信息技术业;海南;软件与服务;TMT概念;定向增发;
000504,*ST生物,生物制品,节能环保;举牌;大订单;湖南国资整合;摘帽;QFII持股;传媒;传播与文化产业;湖南;媒体;基金新增;基金增仓;ST;中盘;
000505,*ST珠江,房地产,壳资源;重组并购;摘帽;地方国资整合;房地产;房地产业;海南;房地产;基金新增;基金增仓;ST;
000506,中润资源,有色矿采,道勤系;涉矿概念;深股通;券商重仓;股权转让;融资融券;转融券;黄金概念;有色金属;房地产业;山东;原材料;基金新增;
000507,珠海港,港口,一带一路;证金持股;广东自贸区;广东国资整合;参股新三板;QFII持股;物联网;基金新增;交通运输;批发和零售贸易;广东;运输;粤港澳大湾区;
000509,华塑控股,建材,大鹏证券系;广东证券系;华夏证券系;道勤系;股权转让;成渝特区;建筑材料;石油、化学、塑胶、塑料;四川;原材料;中盘;
000510,金路集团,化工,汉龙系;华西证券系;参股金融;石墨烯;基金新增;中盘;举牌;超级电容;西部开发;化工;石油、化学、塑胶、塑料;四川;原材料;
000511,*ST烯碳,复合材料,预亏预减;稀土永磁;摘帽;石墨烯;涉矿概念;ST;小金属;低价;新材料;振兴东北;有色金属;房地产业;辽宁;原材料;汇金持股;股权转让;
000513,丽珠集团,医药制造,参股金融;操盘手80;融资融券;转融券;特种药;高价;深成500;中证500;基金增仓;精准医疗;AH股;汇金持股;医药生物;医药、生物制品;广东;制药与生物科技;深股通;广东自贸区;
000514,渝 开 发,房地产,成渝特区;地方国资整合;债转股;西部开发;深股通;房地产;房地产业;重庆;房地产;重庆自贸区;汇金持股;
000516,国际医学,医疗服务,参股金融;融资融券;转融券;重组并购;参股新三板;智慧城市;深成500;精准医疗;健康中国;商业贸易;批发和零售贸易;陕西;零售业;民营医院;深股通;
000517,荣安地产,房地产,低价;中证500;中概股回归;证金持股;房地产;房地产业;浙江;房地产;深股通;
000518,四环生物,医药制造,基金新增;美丽中国;特种药;抗病毒;深成500;深股通;透析;医药生物;医药、生物制品;江苏;制药与生物科技;举牌;
